time,barometric_pressure,humidity,temperature,irradiance
55522,30.43,72,58,547.56
55221,30.43,73,58,569.47
54922,30.43,68,58,524.94
54619,30.43,66,58,514.15
54325,30.43,71,59,675.87
54021,30.43,62,59,749.37
53723,30.43,63,59,817
53420,30.43,63,59,674.59
53119,30.43,63,59,750.06
52822,30.43,63,59,801.4
52519,30.43,63,59,841.77
51919,30.43,55,60,878.9
51620,30.43,59,60,812.24
51322,30.43,56,61,906.69
51022,30.43,51,61,830.84
50720,30.43,50,61,800.4
50424,30.43,47,61,939.73
50121,30.44,48,61,958.91
49823,30.44,48,61,969.45
49524,30.44,51,60,933.3
49220,30.44,55,60,976.4
48922,30.44,47,61,996.02
48624,30.44,50,61,862.91
48321,30.44,49,61,890.3
48021,30.44,52,61,1004.16
47726,30.44,55,61,983.67
47423,30.45,58,61,953.01
47120,30.45,58,60,1009.98
46819,30.45,54,61,1012.23
46529,30.45,56,60,972.14
46220,30.45,54,60,1041.97
45923,30.45,57,60,1040.74
45619,30.45,56,60,1014.25
45320,30.45,57,60,1057.74
45026,30.46,62,60,1021.58
44722,30.45,61,60,1047.09
44418,30.46,61,61,1043.59
44124,30.46,61,60,1046.08
43820,30.46,65,60,1038.94
43518,30.46,60,60,1046.76
43221,30.46,62,60,1051.03
42920,30.47,61,60,1044.4
42627,30.47,57,60,1037.94
42322,30.47,58,60,1036.31
42020,30.47,52,61,1030.88
41720,30.47,51,61,1029.94
41119,30.47,54,61,1021.56
40822,30.47,54,61,1017.38
40518,30.47,44,61,1012.12
40221,30.47,49,61,1002.96
39923,30.48,48,61,996.71
39622,30.48,51,62,986.72
39324,30.48,42,62,980.18
39024,30.48,35,63,975.8
38719,30.47,36,62,966.16
38422,30.48,33,63,955.75
38129,30.48,32,62,944.66
37823,30.48,33,63,931.73
37524,30.48,32,62,925.77
37219,30.48,40,62,911.52
36920,30.48,38,62,904.3
36619,30.48,35,62,890.63
36325,30.48,41,61,879.43
36023,30.48,49,61,859.37
35721,30.48,55,60,852.51
35428,30.48,63,61,829.24
35126,30.48,51,62,820.27
34823,30.48,35,62,809.17
34522,30.47,42,61,796.19
34221,30.48,45,61,778.76
33943,30.47,48,60,768.55
33622,30.47,54,60,666.99
33324,30.47,57,59,736.65
33024,30.47,57,59,719.47
32724,30.47,60,58,699.87
32422,30.47,67,58,682.68
32123,30.47,68,58,657.82
31825,30.47,66,59,644.33
31522,30.47,60,58,623.85
31221,30.47,65,57,600.25
30924,30.47,68,57,585.4
30621,30.47,71,56,565.62
30321,30.47,73,56,512.76
30022,30.47,66,56,525.48
29722,30.47,65,55,502.19
29423,30.47,68,55,461.66
29120,30.46,59,54,461.63
28821,30.46,64,54,439.99
28540,30.46,64,53,391.13
28220,30.46,75,53,391.64
27920,30.46,57,53,373.28
27622,30.46,50,53,357.71
27320,30.46,51,52,339.3
27023,30.46,39,51,313.53
26724,30.46,42,50,272.45
26422,30.46,43,49,263.02
26125,30.46,41,48,212.79
25823,30.46,42,48,96.06
25526,30.46,38,47,32.01
25224,30.45,36,46,28.89
24923,30.45,36,46,27.11
24620,30.45,35,46,26.42
24321,30.45,36,45,24.9
24023,30.45,36,45,22.56
23722,30.45,35,45,19.61
23421,30.45,34,45,16.44
23122,30.45,34,45,13.08
22823,30.45,34,45,9.7
22524,30.44,34,45,6.12
22220,30.44,34,45,4.63
21922,30.44,35,45,2.97
21621,30.44,34,45,1.24
21324,30.44,35,45,1.19
21020,30.43,35,45,1.19
20723,30.43,36,45,1.2
20427,30.43,36,45,1.19
20119,30.43,36,45,1.2
19823,30.43,36,45,1.22
19524,30.43,35,45,1.2
19223,30.43,36,45,1.22
18920,30.43,35,45,1.22
18618,30.43,35,45,1.16
18319,30.43,35,45,1.19
18023,30.43,35,45,1.23
17721,30.43,35,45,1.19
17420,30.42,36,45,1.22
17120,30.43,36,45,1.21
16818,30.42,35,45,1.2
16523,30.42,35,45,1.23
16219,30.43,35,46,1.2
15622,30.42,33,46,1.18
15322,30.42,33,46,1.2
15024,30.42,32,46,1.23
14719,30.42,33,46,1.2
14422,30.42,33,46,1.21
14123,30.42,34,46,1.21
13821,30.42,34,46,1.2
13519,30.42,34,46,1.19
13218,30.42,34,46,1.2
12924,30.42,33,46,1.22
12622,30.42,34,47,1.22
12319,30.42,33,47,1.19
12026,30.42,32,46,1.2
11719,30.42,33,46,1.21
11420,30.42,34,46,1.22
11121,30.42,34,46,1.23
10823,30.42,34,46,1.24
10524,30.42,34,46,1.18
10222,30.42,36,46,1.19
9920,30.42,38,46,1.18
9622,30.42,36,46,1.2
9325,30.42,37,46,1.21
9034,30.42,38,46,1.21
8721,30.43,36,46,1.23
8419,30.43,34,47,1.23
8121,30.43,35,47,1.21
7826,30.43,34,47,1.21
7223,30.43,35,47,1.21
6925,30.43,35,47,1.23
6625,30.43,36,47,1.21
6325,30.43,36,47,1.19
6021,30.43,37,47,1.23
5731,30.43,37,47,1.22
5422,30.43,37,47,1.22
5122,30.43,37,47,1.21
4821,30.43,36,47,1.21
4521,30.43,36,47,1.24
4222,30.44,37,46,1.2
3921,30.44,38,46,1.2
3622,30.44,40,46,1.22
3320,30.44,42,47,1.19
3022,30.44,39,47,1.22
2722,30.44,42,47,1.22
2425,30.44,44,47,1.2
2123,30.45,46,47,1.21
1823,30.45,50,47,1.23
1519,30.45,53,48,1.22
322,30.45,64,48,1.2
22,30.46,62,48,1.24
86126,30.46,59,48,1.21
85823,30.46,58,48,1.21
85526,30.46,57,48,1.23
85221,30.46,60,48,1.21
84924,30.46,62,48,1.17
84624,30.46,64,48,1.21
84319,30.46,72,49,1.2
84022,30.46,71,49,1.24
83722,30.46,80,49,1.23
83422,30.46,85,49,1.21
83123,30.47,93,49,1.23
82825,30.47,98,49,1.21
82520,30.47,99,49,1.22
82219,30.47,99,50,1.21
81931,30.47,99,50,1.23
81623,30.47,99,50,1.22
81319,30.47,99,50,1.21
81022,30.47,99,50,1.22
80719,30.47,98,50,1.22
80422,30.47,98,50,1.2
80122,30.47,98,50,1.2
79821,30.47,97,50,1.2
79520,30.47,97,50,1.21
79226,30.47,97,50,1.22
78920,30.47,96,50,1.22
78632,30.47,96,50,1.22
78328,30.47,95,50,1.24
78020,30.47,95,50,1.23
77721,30.47,95,50,1.23
77421,30.47,95,50,1.23
77122,30.47,94,50,1.24
76821,30.47,93,50,1.2
76523,30.47,93,50,1.24
76220,30.47,93,49,1.21
75926,30.47,93,50,1.24
75620,30.47,92,50,1.2
75318,30.47,91,50,1.19
75020,30.47,90,50,1.25
74724,30.47,88,50,1.25
74419,30.47,87,50,1.23
74119,30.47,86,50,1.21
73818,30.46,85,50,1.25
73520,30.46,84,50,1.23
73223,30.47,81,50,1.23
72920,30.46,75,50,1.26
72622,30.46,70,50,1.17
72322,30.46,63,50,1.22
72018,30.46,51,50,1.22
71723,30.46,47,50,1.22
71422,30.46,46,50,1.24
71125,30.46,47,50,1.25
70822,30.46,48,50,1.19
70522,30.46,56,50,1.19
70220,30.46,57,50,1.23
69921,30.46,55,51,1.19
69620,30.46,54,51,1.23
69322,30.45,53,51,1.22
69024,30.45,51,51,1.24
68720,30.45,51,51,1.24
68424,30.45,52,51,1.23
68119,30.45,51,51,1.23
67824,30.45,52,51,1.24
67519,30.44,55,51,1.23
67221,30.44,55,52,1.21
66921,30.44,55,52,1.24
66623,30.45,59,52,1.18
66319,30.44,59,52,1.52
66023,30.44,61,53,5.07
65721,30.44,62,53,6.16
65452,30.44,59,53,6.63
65122,30.44,59,54,10.96
64822,30.44,57,55,19.42
64522,30.44,53,55,27.14
64219,30.44,52,56,33.75
63922,30.44,49,56,49.57
63622,30.44,50,56,59.62
63338,30.44,48,56,87.23
63025,30.43,49,56,109.93
62725,30.43,57,57,130.82
62425,30.43,55,57,160.52
62120,30.43,52,58,191.37
61820,30.43,49,58,207.05
61522,30.43,45,58,240.99
61224,30.43,41,58,274.83
60925,30.43,55,58,300.94
60622,30.43,56,58,322.71
60338,30.43,50,58,346.59
60020,30.43,49,58,364.18
59741,30.43,51,58,368.35
59422,30.43,46,58,362.84
59121,30.43,48,59,423.9
58825,30.43,59,58,457.69
58523,30.43,52,58,511.38
58222,30.43,52,58,566.83
57920,30.43,49,58,187.96
57620,30.43,58,59,310.59
57322,30.43,46,59,230.26
57021,30.43,46,60,623.31
56722,30.43,48,60,312.1
56424,30.43,44,60,803.72
56119,30.42,47,60,671.97
55820,30.42,51,60,670.32
55521,30.42,48,60,679.73
55224,30.43,54,60,687.62
54918,30.42,53,61,697.66
54621,30.42,44,61,716.27
54323,30.43,50,61,744.43
54130,30.42,53,61,612.34
53721,30.42,50,61,760.9
53421,30.42,57,61,773.71
53118,30.42,59,61,790.08
52823,30.42,59,61,804.28
52524,30.42,53,61,818.82
52219,30.42,51,62,855.63
51920,30.42,58,62,875.16
51621,30.42,54,62,867.9
51327,30.43,58,62,872.67
51020,30.43,50,62,890.52
50419,30.43,53,62,911.06
50120,30.43,49,62,925.16
49820,30.43,47,62,933.15
49521,30.43,53,62,942.73
49221,30.43,50,62,955.74
48921,30.43,54,62,959.47
48620,30.43,57,62,970.22
48318,30.43,54,62,974.87
48020,30.44,53,62,985.22
47725,30.43,50,62,992.19
47422,30.44,56,62,997.26
47122,30.44,54,62,1004.6
46819,30.44,54,63,1007.96
46522,30.44,54,63,1013.59
46220,30.44,51,62,1020.55
45919,30.44,45,62,1025.63
45620,30.45,46,63,1029.41
45320,30.45,43,63,1034.46
45019,30.45,43,63,1033.54
44721,30.45,40,63,1039.06
44420,30.45,39,63,1039.67
44120,30.46,41,64,1037.76
43824,30.45,41,64,1039.52
43520,30.45,41,63,1040.14
43227,30.46,42,63,1039.22
42920,30.46,41,63,1035.99
42620,30.46,39,63,1033.49
42318,30.46,41,63,1029.15
42020,30.46,41,63,1025.51
41719,30.46,41,63,1023.78
41422,30.47,37,63,1017.57
41120,30.47,34,63,1013.93
40821,30.47,34,63,1009.36
40522,30.47,33,63,1002.89
40316,30.47,31,63,999.19
39922,30.47,36,62,987.02
39623,30.47,40,63,981.66
39321,30.47,35,63,973.79
39022,30.47,37,63,964.46
38720,30.47,40,62,957.02
38422,30.47,44,62,946.32
38122,30.47,45,62,933.08
37821,30.47,43,62,926.79
37519,30.47,42,62,915.84
37219,30.47,42,62,901.65
36923,30.47,46,61,899.53
36620,30.47,49,62,878.76
36323,30.47,44,61,867.98
36025,30.47,41,62,855.89
35721,30.47,42,61,841.52
35422,30.47,38,62,830.19
35119,30.47,39,62,815.1
34820,30.47,41,62,799.29
34525,30.47,41,61,785.6
34221,30.47,45,61,768.39
33919,30.47,44,61,754.06
33622,30.47,43,61,738.75
33323,30.46,44,61,722.23
33023,30.46,44,61,706.41
32721,30.46,45,61,686.3
32426,30.46,49,60,669.11
32121,30.46,47,61,652.51
31823,30.46,41,61,634.99
31527,30.46,31,61,617.87
31221,30.46,34,61,597.41
30922,30.46,31,61,578.24
30621,30.46,35,60,559.23
30321,30.46,37,60,538.41
30023,30.46,41,60,519.16
29721,30.45,40,60,499.21
29419,30.45,40,60,478.48
29118,30.45,40,59,458.27
28824,30.45,45,59,438.05
28519,30.44,30,60,416.28
28219,30.44,31,59,395.14
27920,30.44,34,58,373.7
27619,30.43,34,57,352.56
27021,30.43,38,54,305.78
26721,30.43,42,52,278.29
26428,30.43,44,51,251.51
26124,30.43,46,50,222.48
25822,30.43,47,49,164.44
25523,30.43,48,48,21.36
25225,30.42,50,48,20
24923,30.42,51,48,19.24
24619,30.42,53,47,18.33
24320,30.42,54,47,17.31
24022,30.42,55,47,16.09
23719,30.42,56,47,14.73
23420,30.42,57,47,12.53
23121,30.42,57,47,9.86
22820,30.41,58,47,7.7
22522,30.41,61,47,6.17
22223,30.41,62,47,4.32
21920,30.41,62,47,2.34
21624,30.41,61,47,1.47
21325,30.41,60,47,1.21
21021,30.41,59,47,1.23
20721,30.41,58,46,1.24
20421,30.4,59,46,1.23
20126,30.4,58,46,1.21
19827,30.4,58,46,1.21
19522,30.4,56,45,1.22
19224,30.4,56,45,1.22
18921,30.4,55,45,1.2
18622,30.4,55,45,1.2
18320,30.4,55,46,1.16
18022,30.4,53,46,1.15
17725,30.4,51,46,1.18
17425,30.4,50,46,1.18
17120,30.4,50,46,1.18
16821,30.4,49,46,1.19
16519,30.39,49,46,1.18
16225,30.39,48,46,1.2
15925,30.39,47,46,1.17
15621,30.39,47,46,1.17
15329,30.39,45,46,1.18
15022,30.39,45,46,1.21
14718,30.39,45,46,1.17
14420,30.39,45,46,1.18
14120,30.39,47,46,1.19
13826,30.39,47,46,1.18
13522,30.39,48,46,1.2
13226,30.39,50,46,1.22
12922,30.39,52,46,1.21
12619,30.38,55,46,1.22
12323,30.38,56,46,1.21
12023,30.38,57,47,1.18
11722,30.39,58,47,1.24
11424,30.38,58,47,1.22
11119,30.39,58,47,1.24
10819,30.38,58,47,1.26
10525,30.38,58,47,1.18
10225,30.39,58,47,1.24
9923,30.39,59,47,1.19
9623,30.39,59,47,1.2
9322,30.39,60,47,1.24
9025,30.39,60,47,1.23
8721,30.39,60,47,1.25
8421,30.39,62,47,1.23
8123,30.39,64,47,1.2
7820,30.39,64,47,1.24
7524,30.39,66,47,1.24
7230,30.4,65,47,1.23
6924,30.4,68,47,1.2
6623,30.4,70,48,1.21
6324,30.4,69,48,1.22
6018,30.4,71,48,1.25
5721,30.4,73,48,1.18
5421,30.4,76,48,1.22
5120,30.4,76,48,1.21
4823,30.4,77,48,1.25
4520,30.41,77,48,1.23
4226,30.41,77,48,1.23
3919,30.41,78,48,1.22
3624,30.41,78,48,1.23
3325,30.41,78,48,1.23
3029,30.41,78,48,1.19
2724,30.41,78,48,1.22
2419,30.41,78,48,1.22
2121,30.41,78,49,1.22
1822,30.41,77,49,1.22
1524,30.41,78,49,1.22
1225,30.42,77,49,1.23
623,30.42,75,50,1.21
320,30.42,75,50,1.22
31,30.42,75,49,1.21
86121,30.42,75,50,1.24
85824,30.42,74,50,1.23
85531,30.42,74,50,1.22
85221,30.42,74,50,1.21
84921,30.42,73,50,1.24
84624,30.42,74,50,1.23
84321,30.42,75,50,1.23
84023,30.43,75,50,1.24
83720,30.43,77,50,1.19
83423,30.43,79,50,1.22
83121,30.43,79,50,1.22
82825,30.43,81,50,1.23
82520,30.43,82,51,1.2
82224,30.43,84,51,1.22
81922,30.43,86,51,1.2
81619,30.43,88,50,1.23
81323,30.43,89,50,1.22
81025,30.43,89,50,1.23
80727,30.43,87,51,1.23
80421,30.44,85,51,1.22
80120,30.43,77,51,1.23
79825,30.43,75,51,1.21
79521,30.43,75,51,1.21
79220,30.43,73,51,1.2
78920,30.43,71,51,1.2
78628,30.43,71,51,1.21
78322,30.43,68,51,1.22
78021,30.43,66,51,1.21
77724,30.43,67,51,1.24
77430,30.43,69,51,1.2
77121,30.43,72,51,1.22
76823,30.44,67,51,1.21
76528,30.43,67,51,1.25
76220,30.43,68,51,1.25
75920,30.43,70,51,1.23
75626,30.43,75,51,1.23
75318,30.43,73,51,1.23
75021,30.43,68,52,1.18
74720,30.43,67,52,1.24
74419,30.43,67,52,1.23
74118,30.43,65,52,1.2
73822,30.42,65,52,1.23
73524,30.42,66,52,1.23
73229,30.42,65,52,1.23
72924,30.42,66,52,1.23
72619,30.41,67,52,1.21
72322,30.41,66,52,1.24
72022,30.41,69,53,1.22
71721,30.41,68,53,1.22
71418,30.41,69,53,1.23
71124,30.41,70,53,1.21
70824,30.41,73,53,1.27
70527,30.41,70,53,1.24
70222,30.4,71,53,1.2
69922,30.4,71,53,1.24
69622,30.4,72,53,1.2
69319,30.4,77,52,1.25
69032,30.39,82,52,1.25
68722,30.39,88,52,1.2
68426,30.39,93,52,1.24
68119,30.39,93,53,1.2
67819,30.39,91,53,1.25
67521,30.39,93,52,1.23
67224,30.39,94,52,1.24
66918,30.39,94,52,1.23
66628,30.39,94,53,1.27
66323,30.39,93,53,1.43
66018,30.39,92,53,2.59
65720,30.39,91,54,4.5
65421,30.39,89,55,6.36
65118,30.38,86,55,9.83
64819,30.38,81,56,13.81
64523,30.38,82,56,24.13
64223,30.38,83,56,32.14
63924,30.38,82,56,44.93
63644,30.38,82,57,61
63323,30.38,82,57,82.38
63025,30.38,81,58,104.74
62732,30.38,75,58,128.94
62421,30.38,75,58,154.49
62121,30.38,75,57,181.97
61820,30.38,74,58,210.59
61520,30.38,79,58,238.19
61224,30.38,80,58,273.59
60924,30.38,80,58,297.07
60621,30.38,76,58,314.43
60321,30.38,77,58,341.61
60021,30.38,78,59,406.32
59723,30.38,73,59,378.69
59421,30.37,75,59,398.82
59125,30.37,76,59,417.96
58822,30.37,75,59,444.47
58521,30.37,71,59,462.34
58220,30.37,72,59,479.26
57919,30.37,68,60,502.5
57618,30.37,71,60,521.83
57323,30.38,60,61,539.84
57020,30.38,63,61,563.11
56719,30.37,65,61,580.41
56420,30.37,60,61,601.63
56122,30.37,62,61,618.37
55819,30.37,63,61,639.19
55525,30.37,62,61,657.19
55222,30.37,60,61,675.59
54923,30.37,68,61,691.73
54319,30.37,60,61,725.71
54027,30.37,63,62,738.91
53732,30.37,64,62,755.95
53419,30.38,60,62,768.89
53119,30.37,62,62,780.58
52824,30.37,56,62,798.77
52523,30.38,57,62,812.82
52221,30.38,59,62,825.33
51918,30.38,60,62,842.62
51619,30.38,60,63,851.79
51318,30.38,59,63,869.31
51027,30.38,58,62,882.14
50722,30.38,60,63,893.68
50420,30.38,59,63,904.81
50121,30.39,57,63,914.27
49826,30.38,61,63,925.33
49520,30.39,59,62,934.09
49221,30.39,57,63,943.28
48920,30.39,59,63,951.22
48622,30.39,56,63,962.51
48319,30.39,58,64,969.73
48023,30.39,54,64,979.64
47721,30.39,55,63,987.88
47422,30.39,55,64,995.36
47122,30.39,55,63,1000.69
46829,30.39,53,63,1007.72
46519,30.4,56,63,1009.68
46223,30.4,55,63,1012.96
45923,30.39,55,64,1014.42
45619,30.4,53,64,1018.59
45319,30.4,53,64,1021.35
45023,30.4,52,64,1025.7
44724,30.4,49,63,1026.5
44419,30.4,51,63,1029.3
44119,30.4,56,63,1026.44
43824,30.4,53,63,1025.65
43225,30.4,56,63,1027.27
42924,30.4,53,64,1021.34
42622,30.4,51,64,1021.43
42320,30.41,52,64,1017.75
42020,30.41,52,64,1017.9
41725,30.41,51,64,1013.63
41422,30.41,51,64,1008.62
41127,30.41,50,64,1003.03
40822,30.41,51,64,999.55
40523,30.42,51,64,990.23
40219,30.42,50,64,983.03
39918,30.42,51,64,979.47
39623,30.42,52,64,971.99
39318,30.42,53,64,963.55
39019,30.42,53,64,954.68
38719,30.42,52,63,945.02
38420,30.42,51,64,937.88
38119,30.42,50,64,927.39
37820,30.42,52,64,917.65
37519,30.42,50,64,907.2
37224,30.42,51,63,898.15
36922,30.42,52,63,883.59
36620,30.42,53,62,871.54
36323,30.42,52,62,860.3
36019,30.42,52,63,844.12
35722,30.42,52,62,831.86
35420,30.42,54,62,818.22
35124,30.43,54,62,805.71
34822,30.43,54,62,792.03
34522,30.42,54,62,776.64
34220,30.43,54,62,761.38
33922,30.42,54,62,744.78
33621,30.42,53,62,730.74
33323,30.42,54,62,713.44
33024,30.42,52,62,694.68
32725,30.42,54,62,679.66
32421,30.42,55,61,662.26
32123,30.42,55,61,642.27
31820,30.42,56,61,623.85
31523,30.42,56,61,605.51
31222,30.42,57,61,587.31
30920,30.42,57,60,567
30618,30.42,58,60,547.21
30325,30.41,59,60,525.23
30022,30.41,60,60,506.22
29722,30.41,61,60,484.69
29423,30.41,63,59,465.71
29120,30.41,62,59,446.9
28820,30.41,64,59,426.1
28526,30.41,66,58,404.77
28224,30.41,68,58,384
27921,30.4,70,57,362.68
27619,30.4,74,56,340.39
27318,30.4,78,54,319.65
27024,30.4,80,53,295.67
26718,30.4,82,52,269.87
26421,30.4,83,51,242.36
26119,30.39,85,50,214.39
25822,30.39,86,49,160.24
25524,30.39,86,48,23.47
25219,30.39,87,48,21.98
24918,30.39,87,47,20.93
24624,30.39,87,47,19.82
24321,30.39,87,47,18.65
24020,30.38,87,46,17.21
23720,30.38,87,46,15.65
23422,30.38,87,46,13.91
23119,30.38,87,46,11.87
22821,30.38,86,46,9.69
22521,30.38,86,46,7.27
22224,30.38,86,46,5.17
21921,30.38,85,46,3.05
21622,30.38,85,46,1.69
21019,30.38,84,46,1.2
20726,30.38,84,46,1.22
20421,30.38,84,46,1.21
20121,30.37,84,46,1.2
19821,30.38,84,46,1.21
19520,30.37,84,46,1.24
19220,30.37,84,46,1.2
18921,30.37,85,46,1.2
18621,30.37,85,46,1.22
18321,30.37,85,46,1.23
18021,30.37,84,46,1.22
17721,30.37,84,46,1.2
17422,30.37,84,46,1.23
17122,30.37,84,46,1.23
16820,30.37,84,46,1.21
16522,30.37,84,46,1.21
16220,30.37,84,46,1.22
15921,30.37,84,46,1.21
15630,30.37,84,46,1.21
15322,30.37,84,46,1.2
15026,30.37,84,46,1.23
14718,30.37,84,47,1.22
14421,30.37,84,47,1.23
14121,30.37,84,47,1.21
13822,30.37,84,46,1.23
13528,30.37,84,46,1.22
13219,30.37,84,46,1.22
12918,30.37,84,47,1.18
12619,30.37,84,47,1.2
12322,30.37,84,47,1.22
12025,30.37,84,47,1.2
11730,30.37,85,47,1.27
11421,30.37,85,47,1.24
11124,30.37,85,47,1.27
10819,30.37,85,47,1.26
10520,30.37,85,47,1.28
10224,30.37,84,48,1.24
9921,30.37,84,48,1.29
9625,30.37,84,48,1.28
9319,30.38,85,48,1.25
9021,30.38,85,48,1.26
8721,30.38,85,48,1.26
8419,30.38,85,48,1.27
8122,30.38,86,48,1.32
7821,30.38,86,47,1.27
7524,30.38,87,48,1.27
7220,30.38,86,48,1.28
6930,30.38,86,48,1.3
6621,30.38,87,48,1.27
6323,30.38,87,48,1.24
6020,30.38,87,48,1.31
5723,30.38,88,48,1.26
5426,30.39,88,48,1.23
5121,30.39,88,48,1.27
4821,30.39,89,48,1.31
4525,30.39,89,48,1.26
3920,30.39,89,48,1.26
3620,30.39,89,48,1.27
3319,30.39,89,48,1.26
3021,30.39,89,48,1.24
2723,30.39,89,49,1.26
2422,30.4,89,49,1.25
2122,30.4,89,49,1.24
1819,30.4,89,49,1.27
1519,30.4,89,49,1.27
623,30.4,89,49,1.26
324,30.4,89,49,1.23
19,30.4,89,49,1.22
86124,30.4,89,49,1.23
85820,30.4,90,49,1.23
85524,30.4,90,49,1.23
85224,30.4,90,49,1.23
84619,30.41,89,49,1.22
84324,30.41,89,50,1.23
84023,30.41,89,50,1.22
83718,30.41,89,50,1.27
83419,30.41,88,50,1.3
83124,30.41,88,50,1.28
82821,30.41,88,50,1.24
82521,30.41,88,50,1.29
82227,30.41,89,50,1.23
81926,30.41,89,50,1.25
81627,30.41,89,50,1.28
81320,30.41,90,50,1.26
81019,30.41,91,50,1.26
80723,30.41,91,50,1.27
80421,30.41,92,50,1.28
80122,30.41,92,50,1.26
79823,30.41,91,50,1.28
79522,30.41,92,50,1.28
79222,30.41,91,50,1.26
78920,30.41,91,50,1.24
78619,30.41,91,50,1.28
78322,30.41,92,51,1.25
78024,30.41,93,51,1.3
77720,30.41,93,51,1.26
77423,30.41,94,50,1.26
77122,30.41,94,50,1.24
76819,30.41,95,50,1.28
76519,30.41,95,50,1.29
76221,30.41,95,50,1.28
75921,30.41,94,50,1.25
75619,30.41,94,50,1.26
75324,30.41,94,51,1.27
75020,30.41,95,51,1.27
74719,30.41,95,51,1.28
74420,30.41,95,51,1.27
74121,30.41,95,51,1.28
73824,30.41,95,51,1.27
73519,30.41,95,51,1.27
73219,30.41,95,51,1.27
72919,30.4,94,51,1.27
72619,30.4,94,51,1.27
72323,30.4,93,52,1.28
72022,30.4,94,52,1.29
71723,30.4,96,52,1.29
71423,30.4,97,52,1.29
71124,30.4,96,52,1.25
70819,30.4,96,52,1.27
70521,30.4,96,52,1.3
70223,30.39,96,52,1.28
69922,30.39,96,52,1.26
69619,30.39,95,52,1.3
69320,30.39,95,52,1.27
69025,30.39,95,52,1.25
68725,30.39,95,53,1.3
68423,30.39,95,53,1.29
68121,30.39,94,53,1.26
67826,30.38,94,53,1.29
67518,30.38,94,53,1.23
67219,30.38,94,54,1.27
66919,30.38,94,54,1.3
66624,30.38,95,54,1.29
66322,30.38,94,55,1.55
66022,30.38,93,55,2.78
65720,30.38,93,55,4.63
65426,30.38,93,55,6.47
65121,30.38,92,56,8.45
64820,30.38,89,56,10.57
64519,30.38,87,56,13.11
64219,30.38,87,56,16.06
63921,30.37,87,56,19.95
63621,30.37,87,57,28.71
63324,30.37,86,57,41.55
63021,30.37,83,57,43.42
62720,30.37,85,57,55.97
62421,30.37,87,57,57.17
62124,30.37,88,57,66.65
61822,30.37,88,57,78.91
